dest_ip,dest_port,first_seen,last_online,malware
212.109.220.111,443,1/14/2020 15:16,1/23/2020,TrickBot
104.168.96.113,443,1/14/2020 14:39,1/16/2020,TrickBot
85.143.217.237,447,1/14/2020 13:49,2/6/2020,TrickBot
5.182.210.246,443,1/14/2020 13:19,1/30/2020,TrickBot
5.2.78.98,443,1/14/2020 11:21,1/16/2020,TrickBot
185.62.188.34,443,1/14/2020 11:20,1/16/2020,TrickBot
78.189.180.107,80,1/14/2020 9:38,2/6/2020,Heodo
183.82.123.60,443,1/14/2020 9:32,2/5/2020,Heodo
60.130.173.117,80,1/14/2020 9:32,2/6/2020,Heodo
78.189.60.109,443,1/14/2020 9:32,1/17/2020,Heodo
186.15.52.123,80,1/14/2020 9:26,2/5/2020,Heodo
2.47.112.72,80,1/14/2020 9:26,1/21/2020,Heodo
120.150.247.164,80,1/14/2020 9:26,2/6/2020,Heodo
59.120.5.154,80,1/14/2020 9:26,2/6/2020,Heodo
192.241.143.52,8080,1/14/2020 9:26,2/6/2020,Heodo
93.189.41.107,447,1/14/2020 9:22,1/17/2020,TrickBot
76.69.26.71,80,1/14/2020 9:01,1/24/2020,Heodo
66.7.242.50,8080,1/14/2020 8:58,1/17/2020,Heodo
86.123.138.76,80,1/13/2020 21:46,1/20/2020,Heodo
152.231.89.226,80,1/13/2020 20:10,2/6/2020,Heodo
154.73.137.131,80,1/13/2020 19:26,2/6/2020,Heodo
89.211.186.227,443,1/13/2020 17:53,1/15/2020,Heodo
91.250.96.22,8080,1/13/2020 17:53,1/20/2020,Heodo
177.239.160.121,80,1/13/2020 17:53,2/3/2020,Heodo
177.103.159.44,80,1/13/2020 14:58,2/6/2020,Heodo
189.201.197.98,8080,1/13/2020 13:58,2/4/2020,Heodo
62.109.15.126,447,1/13/2020 11:15,1/14/2020,TrickBot
78.24.221.145,447,1/11/2020 21:44,1/27/2020,TrickBot
195.133.146.185,447,1/11/2020 21:23,1/14/2020,TrickBot
92.63.98.59,447,1/11/2020 21:11,1/27/2020,TrickBot
176.31.87.209,447,1/11/2020 20:59,1/14/2020,TrickBot
212.109.223.162,447,1/11/2020 20:47,1/20/2020,TrickBot
185.186.77.247,447,1/11/2020 20:44,1/14/2020,TrickBot
181.30.61.163,80,1/11/2020 16:53,2/6/2020,Heodo
195.123.218.13,447,1/10/2020 4:00,1/14/2020,TrickBot
195.123.218.14,447,1/10/2020 3:40,1/14/2020,TrickBot
189.179.108.157,80,1/9/2020 23:00,1/10/2020,Heodo
27.109.153.201,8090,1/9/2020 23:00,1/17/2020,Heodo
88.249.120.205,80,1/9/2020 23:00,2/6/2020,Heodo
60.231.217.199,8080,1/9/2020 23:00,2/6/2020,Heodo
98.174.166.205,80,1/9/2020 23:00,1/16/2020,Heodo
221.165.123.72,80,1/9/2020 23:00,1/19/2020,Heodo
37.187.72.193,8080,1/9/2020 23:00,2/6/2020,Heodo
190.151.5.130,443,1/9/2020 22:48,1/20/2020,Heodo
190.191.82.216,80,1/9/2020 22:48,2/2/2020,Heodo
198.199.112.197,8080,1/9/2020 21:44,1/10/2020,Heodo
106.248.79.174,80,1/9/2020 21:44,1/16/2020,Heodo
183.91.3.63,80,1/9/2020 21:01,1/22/2020,Heodo
41.215.79.182,80,1/9/2020 21:01,2/6/2020,Heodo
24.164.79.147,8080,1/9/2020 21:00,2/6/2020,Heodo
146.185.253.107,447,1/9/2020 13:25,1/14/2020,TrickBot
103.94.122.254,8082,1/9/2020 2:35,1/27/2020,TrickBot
198.8.91.10,443,1/9/2020 1:35,1/27/2020,TrickBot
23.95.231.187,443,1/8/2020 21:20,1/21/2020,TrickBot
5.2.76.122,443,1/8/2020 19:01,1/9/2020,TrickBot
92.63.105.138,443,1/8/2020 9:00,1/9/2020,TrickBot
85.143.219.230,443,1/8/2020 8:59,1/9/2020,TrickBot
95.181.198.151,443,1/8/2020 8:57,1/9/2020,TrickBot
185.99.2.149,443,1/8/2020 8:57,1/8/2020,TrickBot
79.174.12.245,443,1/8/2020 8:41,1/9/2020,TrickBot
188.0.135.237,80,1/7/2020 19:40,2/6/2020,Heodo
58.162.218.151,80,1/6/2020 23:41,2/5/2020,Heodo
114.109.179.60,80,1/6/2020 23:40,2/6/2020,Heodo
41.60.200.34,80,1/6/2020 23:31,2/6/2020,Heodo
181.126.70.117,80,1/6/2020 23:31,2/6/2020,Heodo
5.32.55.214,80,1/6/2020 23:31,2/4/2020,Heodo
173.66.96.135,80,1/6/2020 23:30,1/13/2020,Heodo
186.86.247.171,443,1/6/2020 23:30,1/21/2020,Heodo
180.33.6.136,443,1/6/2020 23:09,1/9/2020,Heodo
78.210.132.35,80,1/6/2020 23:09,2/6/2020,Heodo
112.68.254.127,80,1/6/2020 23:09,1/9/2020,Heodo
1.221.254.82,80,1/6/2020 23:08,2/6/2020,Heodo
1.217.126.11,443,1/6/2020 23:08,2/6/2020,Heodo
91.73.169.210,80,1/6/2020 23:08,1/11/2020,Heodo
86.108.77.73,443,1/6/2020 23:08,1/7/2020,Heodo
196.6.119.137,80,1/6/2020 22:26,1/17/2020,Heodo
47.180.91.213,80,1/6/2020 22:25,1/20/2020,Heodo
